Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,American Bankers Assn,10000,8,2011-03-21,2012-07-23
1,National Auto Dealers Assn,10000,5,2011-09-16,2012-06-25
1,National Fuel Gas Corp,10000,6,2011-02-17,2012-09-06
1,Comcast Corp,10000,4,2011-08-04,2012-09-24
1,Alpha Natural Resources,10000,4,2011-03-31,2012-03-12
1,Every Republican is Crucial PAC,10000,2,2011-07-21,2012-08-17
7,Farm Credit Council,9430,9,2011-05-18,2012-09-19
8,FirstEnergy Corp,9000,5,2011-06-01,2012-06-22
8,National Assn of Realtors,9000,4,2011-06-27,2012-08-14
8,American Health Care Assn,9000,5,2011-02-07,2012-06-19
8,National Education Assn,9000,4,2011-06-09,2012-09-19
12,American Assn for Homecare,8500,4,2011-06-10,2012-03-20
13,Hardwood Federation,7000,5,2011-03-11,2012-10-11
13,National Rural Electric Cooperative Assn,7000,6,2011-02-14,2012-06-20
15,Pride Mobility Products,6000,3,2011-06-08,2012-03-29
15,Invacare Corp,6000,4,2011-06-09,2012-03-22
17,American Assn of Clinical Urologists,5000,1,2012-06-26,2012-06-26
17,Koch Industries,5000,4,2011-06-10,2012-09-19
17,Verizon Communications,5000,5,2011-09-27,2012-08-24
17,Chesapeake Energy,5000,2,2011-06-21,2012-05-14
17,Home Depot,5000,2,2012-06-21,2012-09-19
17,Freedom Project,5000,1,2012-04-23,2012-04-23
17,Genesis HealthCare,5000,3,2011-02-04,2012-06-25
17,American Physical Therapy Assn,5000,5,2011-03-25,2012-09-19
17,Air Products &amp; Chemicals Inc,5000,2,2011-09-20,2012-10-02
17,American Crystal Sugar,5000,1,2011-07-07,2011-07-07
17,National Electrical Contractors Assn,5000,2,2011-11-30,2012-04-24
17,United Parcel Service,5000,6,2011-02-18,2012-09-07
17,Raytheon Co,5000,3,2011-02-23,2012-09-18
17,Keystone Alliance,5000,1,2011-06-23,2011-06-23
31,American Orthotic &amp; Prosthetic Assn,4500,2,2011-03-02,2012-04-19
31,American Hospital Assn,4500,8,2011-05-31,2012-10-24
31,Land O'Lakes,4500,3,2011-03-31,2012-06-26
31,American College of Radiology,4500,2,2011-08-19,2012-08-09
35,National Community Action Foundation,4000,4,2011-07-13,2012-11-27
35,CONSOL Energy,4000,4,2011-04-19,2012-10-11
35,National Assn of Home Builders,4000,3,2012-04-04,2012-10-31
35,Halliburton Co,4000,2,2011-11-07,2012-07-30
35,Williams Companies,4000,4,2011-05-25,2012-06-14
35,PricewaterhouseCoopers,4000,2,2011-07-28,2012-05-21
35,Dominion Resources,4000,4,2011-06-13,2012-09-19
35,National Beer Wholesalers Assn,4000,2,2011-07-20,2012-06-21
35,Bill Shuster for Congress,4000,2,2011-11-01,2011-11-01
44,National Corn Growers Assn,3500,2,2011-12-20,2012-03-29
44,Genesee &amp; Wyoming,3500,2,2011-08-16,2012-08-14
46,National Roofing Contractors Assn,3000,5,2011-06-01,2012-06-26
46,National Air Traffic Controllers Assn,3000,3,2011-03-28,2012-06-26
46,United Egg Assn,3000,3,2011-03-31,2012-02-29
46,Assn of Private Sector Colleges/Univs,3000,3,2011-07-28,2012-08-02
46,Exxon Mobil,3000,1,2011-10-26,2011-10-26
46,AT&amp;T Inc,3000,3,2011-04-04,2012-06-15
46,National Mining Assn,3000,2,2012-02-13,2012-07-31
46,"National Stone, Sand &amp; Gravel Assn",3000,3,2012-03-27,2012-09-18
46,National Rural Letter Carriers Assn,3000,3,2011-02-16,2011-09-16
46,American Society of Assn Executives,3000,3,2011-02-28,2012-03-05
46,Credit Union National Assn,3000,3,2011-08-08,2012-05-31
46,Dairy Farmers of America,3000,1,2012-05-14,2012-05-14
46,Natl Assn/Insurance &amp; Financial Advisors,3000,2,2011-12-07,2012-07-09
46,American Soybean Assn,3000,3,2012-04-03,2012-09-20
60,National Restaurant Assn,2500,1,2012-06-19,2012-06-19
60,Weyerhaeuser Co,2500,1,2012-05-09,2012-05-09
60,American Bakers Assn,2500,1,2012-08-20,2012-08-20
60,Honeywell International,2500,2,2011-10-18,2012-06-27
60,Eagle Forum,2500,3,2012-04-26,2012-10-03
60,American College of Emergency Physicians,2500,1,2012-06-21,2012-06-21
60,Independent Petroleum Assn of America,2500,1,2011-11-15,2011-11-15
60,OSI Restaurant Partners,2500,1,2011-06-17,2011-06-17
60,American Assn of Orthopaedic Surgeons,2500,1,2011-08-10,2011-08-10
60,Beverly Enterprises,2500,1,2011-02-07,2011-02-07
60,Fulton Financial,2500,2,2011-07-08,2012-07-23
71,Highmark Blue Cross/Blue Shield,2000,2,2011-08-17,2012-07-05
71,Joy Global Inc,2000,2,2012-02-21,2012-09-04
71,Forest Landowners Assn,2000,1,2012-10-16,2012-10-16
71,National Assn of Health Underwriters,2000,2,2011-11-03,2012-10-16
71,HCR Manor Care,2000,1,2011-02-01,2011-02-01
71,Apria Healthcare,2000,2,2011-07-28,2012-04-09
71,Owner-Operator Independent Drivers Assn,2000,2,2011-09-22,2012-09-20
71,PPL Corp,2000,2,2011-08-05,2012-09-21
71,Anadarko Petroleum,2000,2,2011-11-17,2012-02-24
71,Arch Coal,2000,2,2012-02-29,2012-08-10
71,Caterpillar Inc,2000,2,2011-03-23,2012-05-23
71,American Speech-Language-Hearing Assn,2000,2,2011-07-22,2012-09-13
71,Investment Co Institute,2000,2,2011-03-15,2012-09-05
71,National Fedn of Independent Business,2000,1,2012-06-08,2012-06-08
71,National Cattlemen's Beef Assn,2000,2,2011-08-10,2012-07-23
71,National Rifle Assn,2000,2,2011-06-13,2012-05-16
71,International Dairy Foods Assn,2000,2,2011-08-31,2012-06-27
71,General Electric,2000,1,2012-09-20,2012-09-20
71,International Paper,2000,1,2012-09-19,2012-09-19
71,ACA International,2000,1,2011-07-25,2011-07-25
71,American Gas Assn,2000,1,2012-06-18,2012-06-18
