Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,WinRed,178888,4066,2021-01-08,2022-06-30
2,Team GT,95140,13,2021-06-30,2022-11-03
3,Farm Leadership Fund,31341,2,2021-12-22,2021-12-22
4,Plains Cotton Growers,15000,3,2021-03-02,2022-03-15
4,Texas Farm Bureau,15000,4,2021-06-08,2022-12-02
6,Farm Credit Council,10000,4,2021-04-27,2021-10-15
6,Western Growers Assn,10000,2,2022-05-13,2022-05-13
6,National Pork Producers Council,10000,2,2022-03-24,2022-03-24
6,Deere &amp; Co,10000,2,2021-03-19,2022-03-04
6,Koch Industries,10000,4,2021-03-08,2022-06-21
6,Corteva Agriscience,10000,3,2022-02-04,2022-09-30
6,Comcast Corp,10000,3,2021-12-15,2022-08-16
6,CropLife America,10000,3,2021-06-17,2022-02-10
6,Auto Care Assn,10000,5,2021-06-25,2022-05-17
6,American Veterinary Medical Assn,10000,4,2021-11-15,2022-09-23
6,National Assn of Convenience Stores,10000,2,2021-06-04,2022-07-26
6,CHS Inc,10000,3,2021-12-06,2022-09-28
6,Minn-Dak Farmers Co-Op,10000,5,2021-02-26,2022-09-22
6,Southern Minn Beet Sugar Co-Op,10000,4,2021-02-25,2022-05-02
6,California Citrus Mutual,10000,3,2021-02-22,2022-02-15
6,Dairy Farmers of America,10000,9,2021-07-13,2022-06-28
6,National Council of Farmer Co-Ops,10000,8,2021-04-23,2022-09-28
6,National Rural Electric Cooperative Assn,10000,5,2021-05-20,2022-04-21
6,American Bankers Assn,10000,3,2021-06-09,2022-09-08
6,Associated Builders &amp; Contractors,10000,2,2021-09-22,2022-06-10
6,Texas Cattle Feeders Assn,10000,2,2021-06-09,2022-05-04
6,National Cotton Council,10000,3,2021-03-04,2021-07-15
6,National Cattlemen's Beef Assn,10000,2,2021-06-28,2021-09-22
6,National Chicken Council,10000,4,2021-03-19,2022-07-18
6,International Paper,10000,3,2021-09-24,2022-09-21
6,National Auto Dealers Assn,10000,2,2021-11-16,2022-09-07
6,California Farm Bureau,10000,3,2021-05-17,2022-03-01
6,National Turkey Federation,10000,2,2021-11-10,2022-10-18
6,National Fuel Gas Co,10000,7,2021-06-29,2022-10-07
6,Alabama Farmers Federation,10000,3,2021-02-18,2021-09-09
6,American Crystal Sugar,10000,4,2021-05-27,2022-10-13
6,National Wooden Pallet &amp; Container Assn,10000,4,2021-06-21,2022-02-14
6,Mississippi Farm Bureau,10000,3,2021-07-12,2021-09-13
6,National Sorghum Producers,10000,4,2021-02-25,2022-09-24
6,Eye of the Tiger PAC,10000,2,2021-06-14,2022-07-15
6,Crop Insurance Professionals Assn,10000,2,2021-03-24,2021-06-29
6,Rain &amp; Hail Insurance Society,10000,6,2021-07-08,2022-09-06
6,Home Depot,10000,2,2022-01-30,2022-03-24
6,Southern Cotton Growers Inc,10000,2,2021-03-01,2021-07-08
6,USA Rice Federation,10000,3,2021-05-27,2021-09-22
6,California Dairies Inc,10000,6,2021-04-27,2022-04-25
6,National Corn Growers Assn,10000,8,2021-03-04,2022-08-25
6,Michigan Sugar,10000,2,2021-12-01,2022-10-19
6,Majority Cmte PAC,10000,2,2021-02-26,2021-02-26
50,Buffalo River PAC,9000,3,2022-04-19,2022-09-16
51,National Community Action Foundation,8500,8,2021-03-02,2022-06-08
