Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,Problem Solvers Patriots,54685,4,2019-12-02,2019-12-17
2,WinRed,23851,82,2019-10-03,2020-10-13
3,Crop Insurance Professionals Assn,10000,2,2019-02-21,2019-11-02
3,Rain &amp; Hail Insurance Society,10000,6,2019-05-07,2020-07-17
3,Majority Cmte PAC,10000,2,2020-06-01,2020-06-01
3,Tuesday Group PAC,10000,8,2019-02-04,2020-08-03
3,Dairy Farmers of America,10000,5,2019-03-07,2020-07-20
3,National Rural Electric Cooperative Assn,10000,7,2019-03-14,2020-06-25
3,American Bankers Assn,10000,8,2019-06-24,2020-07-23
3,Land O'Lakes,10000,4,2019-03-13,2020-06-11
3,National Cattlemen's Beef Assn,10000,5,2019-07-12,2020-08-13
3,National Auto Dealers Assn,10000,2,2019-09-10,2020-09-15
3,National Fuel Gas Co,10000,6,2019-02-08,2020-10-14
3,Alabama Farmers Federation,10000,2,2019-02-27,2020-09-09
3,American Crystal Sugar,10000,2,2019-02-04,2019-07-24
3,National Assn of Convenience Stores,10000,4,2019-10-30,2020-08-18
3,National Community Action Foundation,10000,5,2019-02-06,2020-09-25
3,American Assn of Crop Insurers,10000,2,2019-06-03,2020-01-29
3,Farm Credit Council,10000,2,2019-05-07,2019-05-07
3,Koch Industries,10000,5,2019-09-19,2020-06-15
3,Comcast Corp,10000,3,2019-03-08,2020-05-21
22,International Dairy Foods Assn,9000,2,2019-05-23,2020-02-26
22,FirstEnergy Corp,9000,7,2019-02-21,2020-10-26
24,National Rural Letter Carriers Assn,8000,2,2019-02-07,2020-09-25
24,PAC Unitatis,8000,5,2019-09-20,2020-05-21
26,CMR PAC,7500,4,2019-12-16,2020-09-25
26,National Cotton Council,7500,4,2019-03-14,2020-02-19
26,National Electrical Contractors Assn,7500,4,2019-03-14,2020-10-20
26,National Roofing Contractors Assn,7500,5,2019-03-11,2020-05-19
30,"National Stone, Sand &amp; Gravel Assn",7000,2,2019-09-03,2020-06-24
30,Plains Cotton Growers,7000,3,2019-03-11,2020-03-18
32,Michigan Sugar,6500,3,2019-03-14,2020-06-30
32,Independent Community Bankers of America,6500,5,2019-07-16,2020-09-23
32,CropLife America,6500,3,2019-12-04,2020-09-09
32,American Veterinary Medical Assn,6500,5,2019-06-26,2020-09-14
36,National Beer Wholesalers Assn,6000,3,2019-06-17,2020-08-26
36,American Physical Therapy Assn,6000,5,2019-05-20,2020-10-02
36,National Assn of Realtors,6000,3,2019-08-09,2020-09-09
36,Walmart Inc,6000,6,2019-03-28,2020-09-17
36,Lockheed Martin,6000,6,2019-03-08,2019-10-02
41,Syngenta Corp,5000,3,2019-12-09,2020-09-25
41,Bayer Corp,5000,1,2020-06-15,2020-06-15
41,USA Rice Federation,5000,3,2019-02-21,2020-10-08
41,Cozen O'Connor,5000,1,2019-10-14,2019-10-14
41,Hardwood Federation,5000,2,2019-07-25,2020-05-27
41,Keystone Alliance,5000,2,2019-10-15,2019-10-23
41,Huck PAC,5000,1,2020-09-30,2020-09-30
41,National Turkey Federation,5000,2,2019-09-26,2020-07-29
41,US Beet Sugar Assn,5000,2,2019-03-04,2019-10-09
41,International Paper,5000,2,2019-08-13,2020-06-11
41,Council of Insurance Agents &amp; Brokers,5000,2,2020-07-22,2020-10-27
41,United Mine Workers of America,5000,3,2019-03-12,2020-04-30
41,National Education Assn,5000,3,2019-06-20,2020-10-14
41,National Confectioners Assn,5000,2,2019-06-19,2019-09-27
41,National Council of Farmer Co-Ops,5000,2,2020-06-11,2020-10-22
41,FMC Corp,5000,5,2019-03-27,2020-07-16
41,North American Meat Institute,5000,3,2019-09-24,2020-09-30
41,American Bakers Assn,5000,2,2019-06-13,2020-09-08
41,Erie Insurance,5000,4,2019-03-08,2020-08-19
41,Investment Co Institute,5000,4,2019-07-11,2020-03-10
41,Farmer Mac,5000,1,2020-07-28,2020-07-28
41,National Pork Producers Council,5000,2,2020-06-04,2020-10-09
41,Deere &amp; Co,5000,1,2020-09-03,2020-09-03
41,American Speech-Language-Hearing Assn,5000,3,2019-11-06,2020-10-20
41,Texas Farm Bureau,5000,2,2020-03-05,2020-09-21
66,SNAC International,4500,2,2019-06-28,2020-09-30
66,National Shooting Sports Foundation,4500,2,2019-09-17,2020-05-01
66,BASF Corp,4500,3,2019-11-04,2020-06-11
69,Genesis HealthCare,4300,2,2019-08-28,2020-10-01
70,Amazon.com,4000,3,2019-06-17,2020-09-24
70,Leadership for Enterprise &amp; Opportunity,4000,2,2019-10-11,2019-10-11
70,Scalise for Congress,4000,2,2019-11-15,2020-06-24
70,Safari Club International,4000,2,2019-09-03,2020-06-30
70,Southern Minn Beet Sugar Co-Op,4000,3,2019-03-07,2020-08-05
70,National Air Traffic Controllers Assn,4000,4,2019-05-06,2020-10-14
70,United Parcel Service,4000,3,2019-03-19,2020-09-18
70,National Pest Management Assn,4000,3,2019-07-03,2020-10-09
78,United Fresh Produce Assn,3500,2,2020-06-26,2020-10-28
78,Crop Insurance &amp; Reinsurance Bureau,3500,2,2019-03-06,2019-10-07
78,National Grocers Assn,3500,2,2019-05-10,2020-05-30
78,National Sorghum Producers,3500,2,2019-02-20,2020-03-05
78,Highmark Blue Cross/Blue Shield,3500,4,2019-03-26,2020-02-25
83,National Milk Producers Federation,3000,2,2019-03-12,2020-02-13
83,TIAA,3000,3,2019-06-07,2019-10-31
83,American Soybean Assn,3000,3,2020-06-17,2020-09-17
83,Southeastern Lumber Manufacturers Assn,3000,3,2019-06-18,2020-05-19
83,American Assn of Nurse Anesthetists,3000,3,2019-09-11,2020-02-10
83,NiSource Inc,3000,3,2019-02-08,2020-02-24
83,CME Group,3000,2,2019-09-17,2020-09-24
83,Honeywell International,3000,3,2019-03-20,2019-12-03
83,American Medical Assn,3000,1,2020-08-20,2020-08-20
83,National Assn of Insurance &amp; Financial Advisors,3000,2,2019-08-12,2020-07-06
83,Credit Union National Assn,3000,3,2019-05-29,2020-04-23
94,National Republican Congressional Cmte,2700,1,2019-05-03,2019-05-03
95,Cargill Inc,2500,1,2020-06-17,2020-06-17
95,Chevron Corp,2500,1,2019-11-07,2019-11-07
95,California Farm Bureau,2500,1,2019-10-25,2019-10-25
95,Associated General Contractors,2500,1,2020-10-12,2020-10-12
95,National Active &amp; Retired Federal Employees Assn,2500,2,2019-12-03,2020-03-02
95,National Assn of Home Builders,2500,1,2020-10-08,2020-10-08
95,National Assn of Letter Carriers,2500,1,2020-05-27,2020-05-27
95,California Citrus Mutual,2500,1,2020-05-27,2020-05-27
95,Corteva Agriscience,2500,1,2020-02-11,2020-02-11
95,UnitedHealth Group,2500,2,2019-09-26,2020-08-27
95,Massachusetts Mutual Life Insurance,2500,1,2020-10-12,2020-10-12
95,Ocean Spray Cranberries,2500,1,2020-05-20,2020-05-20
95,American Quarter Horse Assn,2500,1,2020-03-18,2020-03-18
95,FMR Corp,2500,1,2020-09-15,2020-09-15
95,International Bottled Water Assn,2500,1,2019-04-08,2019-04-08
95,Snake River Sugar,2500,1,2019-07-23,2019-07-23
95,Associated Milk Producers,2500,1,2019-04-29,2019-04-29
95,Home Depot,2500,1,2020-08-06,2020-08-06
95,Leonardo DRS,2500,2,2019-07-29,2020-10-06
95,National Corn Growers Assn,2500,2,2020-02-12,2020-08-27
95,Midnight Sun,2500,1,2020-09-25,2020-09-25
95,California Dairies Inc,2500,1,2020-02-12,2020-02-12
95,National Alliance of Forest Owners,2500,2,2019-07-11,2020-05-27
95,Building Leadership &amp; Inspiring New Enterprise,2500,1,2020-09-28,2020-09-28
95,Innovation PAC,2500,1,2019-10-08,2019-10-08
95,Excelsior PAC,2500,1,2020-07-06,2020-07-06
95,CGB Enterprises,2500,1,2020-01-30,2020-01-30
122,American Wood Council,2000,2,2019-03-21,2019-07-19
122,Wakefern Food,2000,2,2019-05-09,2020-10-28
122,Federal Forest Resource Coalition,2000,2,2019-03-29,2020-01-14
122,Texans for Jodey Arrington,2000,2,2020-06-02,2020-10-19
122,National Wooden Pallet &amp; Container Assn,2000,2,2019-06-17,2020-06-08
122,Animal Wellness Action,2000,2,2019-03-08,2020-06-01
122,Goldman Sachs,2000,1,2020-10-22,2020-10-22
122,Schwan's Co,2000,2,2019-05-14,2019-05-23
122,Morgan Stanley,2000,1,2020-10-15,2020-10-15
122,American Assn of Orthopaedic Surgeons,2000,1,2020-07-15,2020-07-15
122,"Nelson, Mullins et al",2000,2,2019-01-29,2020-03-06
122,CONSOL Energy,2000,2,2019-10-10,2020-07-15
122,KPMG LLP,2000,1,2020-07-21,2020-07-21
122,Genesee &amp; Wyoming,2000,1,2019-08-13,2019-08-13
122,Pioneer PAC (Rob Bishop),2000,1,2020-10-22,2020-10-22
122,Humane Society Legislative Fund,2000,2,2019-09-23,2020-10-09
122,Fulton Financial,2000,2,2019-08-14,2020-07-07
122,Govern PAC,2000,2,2019-09-03,2020-07-02
122,Fraternity &amp; Sorority PAC,2000,2,2019-06-21,2020-06-26
122,National Assn/Farm Service Agency County Employees,2000,1,2019-04-29,2019-04-29
122,Google Inc,2000,1,2020-10-22,2020-10-22
122,Society of Independent Gasoline Marketers,2000,1,2020-07-23,2020-07-23
122,Exxon Mobil,2000,1,2020-06-17,2020-06-17
122,PricewaterhouseCoopers,2000,1,2020-02-18,2020-02-18
122,Minn-Dak Farmers Co-Op,2000,2,2019-02-08,2019-07-23
122,Amgen Inc,2000,1,2020-06-19,2020-06-19
122,US Sugar,2000,1,2019-06-25,2019-06-25
122,Zurich Insurance,2000,1,2019-09-10,2019-09-10
122,CHS Inc,2000,2,2019-11-18,2020-08-24
122,Hershey Co,2000,2,2019-12-09,2020-06-15
