Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,WinRed,308414,477,2023-01-07,2024-12-30
2,Team GT,91968,13,2023-01-27,2024-08-29
3,Plains Cotton Growers,15000,3,2023-01-29,2024-10-27
4,American Israel Public Affairs Cmte,10549,20,2023-10-15,2024-10-16
5,BASF Corp,10000,4,2023-02-03,2024-10-03
5,Meat Institute,10000,4,2023-01-23,2024-01-30
5,Minn-Dak Farmers Co-Op,10000,3,2023-02-10,2024-10-23
5,National Chicken Council,10000,3,2023-02-21,2024-04-29
5,American Bankers Assn,10000,5,2023-03-15,2024-07-18
5,National Confectioners Assn,10000,2,2023-02-05,2023-02-05
5,National Cotton Council,10000,3,2023-06-29,2024-10-29
5,NCTA the Internet &amp; Television Assn,10000,2,2023-09-22,2024-03-26
5,Crop Insurance Professionals Assn,10000,3,2023-03-21,2023-05-15
5,Farm Credit Council,10000,2,2023-03-07,2024-02-02
5,Syngenta Corp,10000,2,2023-02-10,2024-02-14
5,United Egg Assn,10000,4,2023-11-15,2024-08-22
5,Koch Inc,10000,4,2023-09-19,2024-09-13
5,USA Rice Federation,10000,4,2023-04-27,2023-09-21
5,Dairy Farmers of America,10000,3,2023-03-10,2024-03-22
5,NTCA/Rural Broadband Assn,10000,6,2023-02-04,2024-06-07
5,Mississippi Farm Bureau,10000,4,2023-01-18,2024-04-16
5,National Wooden Pallet &amp; Container Assn,10000,2,2023-01-10,2024-01-25
5,American Crystal Sugar,10000,3,2023-02-21,2023-08-09
5,Ocean Spray Cranberries,10000,3,2023-01-24,2024-09-11
5,Archer Daniels Midland,10000,5,2023-03-29,2024-09-11
5,American Veterinary Medical Assn,10000,2,2023-03-20,2023-12-12
5,National Assn of Landscape Professionals,10000,3,2023-04-06,2024-10-23
5,Western Peanut Growers Assn,10000,6,2023-03-03,2024-09-25
5,National Rural Electric Cooperative Assn,10000,2,2023-03-16,2023-09-28
5,National Council of Farmer Co-Ops,10000,5,2023-01-10,2023-12-12
5,Deere &amp; Co,10000,2,2023-03-29,2024-03-22
5,International Paper,10000,2,2023-05-09,2023-05-09
5,International Dairy Foods Assn,10000,7,2023-06-27,2024-10-31
5,National Milk Producers Federation,10000,5,2023-02-24,2024-03-14
5,CME Group,10000,3,2023-03-22,2024-03-21
5,Agricultural Retailers Assn,10000,2,2023-09-25,2023-09-25
5,Zurich Insurance,10000,2,2023-03-17,2024-03-27
5,CropLife America,10000,3,2023-03-29,2024-11-05
5,National Cattlemen's Beef Assn,10000,2,2023-03-21,2023-03-21
5,American Soybean Assn,10000,3,2023-06-08,2024-08-29
5,Comcast Corp,10000,2,2023-09-25,2024-03-12
5,Cox Enterprises,10000,4,2023-02-07,2024-09-04
5,National Assn of Convenience Stores,10000,2,2023-01-31,2023-05-08
5,Weyerhaeuser Co,10000,5,2023-03-16,2024-02-09
5,FirstEnergy Corp,10000,2,2023-05-09,2024-10-01
5,California Dairies Inc,10000,3,2023-02-28,2024-03-21
5,Independent Community Bankers of America,10000,5,2023-01-30,2024-04-19
5,American Pistachio Growers,10000,4,2023-02-02,2024-10-01
5,National Turkey Federation,10000,2,2023-03-09,2023-03-09
5,American Assn of Crop Insurers,10000,2,2023-10-02,2023-10-02
5,Southern Minn Beet Sugar Co-Op,10000,4,2023-04-03,2024-10-17
52,Rain &amp; Hail Insurance Society,9500,5,2023-03-08,2024-08-21
52,Blue Diamond Growers,9500,4,2023-02-06,2023-08-22
54,Bayer Corp,9000,5,2023-04-11,2024-10-22
54,American Council of Engineering Cos,9000,2,2023-08-21,2024-04-23
56,National Beer Wholesalers Assn,8500,3,2023-09-15,2024-08-08
56,Association of Equipment Manufacturers,8500,3,2023-09-22,2024-03-07
56,US Peanut PAC,8500,3,2023-01-04,2023-03-22
59,National Assn of Realtors,8000,3,2023-07-26,2024-06-26
60,Nutrien Ag Solutions,7500,3,2023-01-12,2023-08-28
60,National Corn Growers Assn,7500,3,2023-08-30,2024-09-10
60,PepsiCo Inc,7500,3,2023-01-23,2024-01-03
60,Council of Producers &amp; Distributors/Agrotechnology,7500,2,2023-10-02,2024-04-19
60,National Community Action Foundation,7500,6,2023-03-28,2024-08-06
60,FMR Corp,7500,3,2023-12-18,2024-09-30
60,American Forest &amp; Paper Assn,7500,8,2023-06-22,2024-06-27
60,TIAA,7500,5,2023-11-15,2024-06-25
60,Auto Care Assn,7500,2,2023-06-27,2024-06-12
60,California Rice Industry Assn,7500,2,2023-02-14,2024-10-08
60,Land O'Lakes,7500,3,2024-02-14,2024-03-11
71,National Roofing Contractors Assn,7000,7,2023-03-20,2024-09-16
71,Republican Governance Group,7000,3,2023-03-06,2024-09-12
71,National Rural Letter Carriers Assn,7000,3,2023-03-13,2024-03-27
71,PPL Corp,7000,4,2023-04-05,2024-10-01
71,National Assn of Home Builders,7000,2,2024-01-09,2024-10-08
71,JPMorgan Chase &amp; Co,7000,5,2023-03-29,2024-08-21
71,National Grocers Assn,7000,8,2023-02-21,2024-08-04
71,International Fresh Produce Assn,7000,3,2023-07-12,2024-09-23
79,Walmart Inc,6500,3,2023-03-16,2024-08-14
79,Corteva Agriscience,6500,3,2023-03-20,2024-08-23
79,Albertsons Companies,6500,2,2023-09-19,2024-04-12
82,Farmers' Rice Cooperative,6000,2,2023-05-04,2024-10-17
82,Kroger Co,6000,2,2023-06-23,2024-07-23
82,Minnesota Corn Growers Assn,6000,2,2023-07-28,2023-08-22
82,Hershey Co,6000,6,2023-05-10,2024-04-16
82,National Pest Management Assn,6000,2,2023-03-14,2024-05-15
87,American Frozen Food Institute,5500,4,2023-04-26,2024-07-22
87,SNAC International,5500,3,2023-03-06,2024-02-20
89,Valero Energy,5000,1,2023-07-26,2023-07-26
89,Chevron Corp,5000,1,2024-09-23,2024-09-23
89,Fertilizer Institute,5000,1,2023-02-28,2023-02-28
89,American Sugar Cane League,5000,1,2024-03-21,2024-03-21
89,Michigan Sugar,5000,1,2023-03-31,2023-03-31
89,Associated General Contractors,5000,2,2023-03-20,2024-10-16
