Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,National Rural Electric Cooperative Assn,10000,6,2017-02-16,2018-02-27
1,American Bankers Assn,10000,6,2017-07-11,2018-06-27
1,National Auto Dealers Assn,10000,4,2017-03-01,2018-08-10
1,National Fuel Gas Co,10000,6,2017-05-25,2018-10-16
1,National Assn of Convenience Stores,10000,3,2017-09-20,2018-02-07
1,Koch Industries,10000,5,2018-03-13,2018-09-24
1,National Roofing Contractors Assn,10000,7,2017-03-16,2018-03-12
1,Comcast Corp,10000,3,2017-02-10,2018-10-17
1,Prosperity Action,10000,2,2017-03-29,2018-01-23
1,Majority Cmte PAC,10000,2,2017-06-20,2017-06-20
1,Tuesday Group PAC,10000,4,2017-03-13,2018-06-08
12,FirstEnergy Corp,9000,6,2017-04-21,2018-10-02
12,Boeing Co,9000,9,2017-03-14,2018-07-26
14,National Community Action Foundation,8500,8,2017-03-22,2018-05-22
14,United Parcel Service,8500,7,2017-03-28,2018-07-12
16,National Assn of Insurance &amp; Financial Advisors,7500,5,2017-07-11,2018-08-23
16,Land O'Lakes,7500,4,2017-05-03,2018-03-13
16,Rain &amp; Hail Insurance Society,7500,8,2017-02-21,2018-09-11
19,International Dairy Foods Assn,7000,4,2017-03-17,2018-09-21
19,National Air Traffic Controllers Assn,7000,7,2017-02-21,2018-07-20
19,National Education Assn,7000,3,2017-06-22,2018-09-11
19,National Assn of Home Builders,7000,3,2017-07-19,2018-10-25
19,Dairy Farmers of America,7000,5,2017-05-10,2018-11-05
24,American Physical Therapy Assn,6000,4,2017-03-20,2018-07-18
24,National Assn of Realtors,6000,3,2017-06-26,2018-08-28
24,National Rural Letter Carriers Assn,6000,3,2017-06-26,2018-06-29
24,Safari Club International,6000,3,2017-10-05,2018-09-27
24,Federal Forest Resource Coalition,6000,3,2017-04-26,2018-03-23
29,Farm Credit Council,5605,2,2017-08-02,2018-06-28
30,Genesis HealthCare,5500,3,2017-02-03,2018-10-22
30,National Milk Producers Federation,5500,4,2017-03-28,2018-07-18
30,American Society of Assn Executives,5500,5,2017-03-30,2018-12-11
30,General Electric,5500,5,2017-03-23,2018-03-20
34,International Paper,5000,2,2017-11-10,2018-02-28
34,Halliburton Co,5000,1,2017-10-30,2017-10-30
34,National Turkey Federation,5000,1,2018-07-25,2018-07-25
34,Dominion Energy,5000,3,2017-06-22,2018-09-11
34,Exxon Mobil,5000,2,2017-12-07,2018-03-19
34,Highmark Blue Cross/Blue Shield,5000,6,2017-02-14,2018-09-05
34,BASF Corp,5000,3,2017-06-16,2018-06-22
34,California Dairies Inc,5000,2,2017-07-11,2018-04-10
34,American Speech-Language-Hearing Assn,5000,3,2017-06-12,2018-09-21
34,EQT Corp,5000,2,2017-04-18,2018-08-17
34,National Beer Wholesalers Assn,5000,2,2017-05-23,2017-09-19
34,Plains Cotton Growers,5000,3,2017-07-25,2018-03-15
34,Wakefern Food,5000,4,2017-06-15,2018-10-23
34,Keystone Alliance,5000,1,2018-10-05,2018-10-05
34,Hardwood Federation,5000,4,2017-03-22,2018-03-20
34,No Labels Problem Solvers,5000,1,2017-06-28,2017-06-28
50,"National Stone, Sand &amp; Gravel Assn",4500,3,2017-12-14,2018-12-13
50,National Pest Management Assn,4500,3,2017-08-18,2018-05-23
50,National Council of Farmer Co-Ops,4500,3,2017-05-15,2018-12-17
53,PPG Industries,4000,3,2017-08-02,2018-06-21
53,National Cattlemen's Beef Assn,4000,3,2017-05-16,2018-08-06
53,Monsanto Co,4000,3,2017-09-29,2018-08-08
53,NiSource Inc,4000,4,2017-03-21,2018-09-12
53,American Hospital Assn,4000,2,2018-02-08,2018-08-03
53,Erie Insurance,4000,4,2017-03-07,2018-05-29
53,Ryan for Congress,4000,2,2017-03-28,2017-03-28
53,Pennsylvania Homecare Assn,4000,2,2017-07-25,2018-10-26
61,National Shooting Sports Foundation,3500,2,2017-09-05,2018-05-10
61,Independence Blue Cross,3500,3,2017-10-06,2018-08-29
61,American Assn of Crop Insurers,3500,2,2017-06-19,2018-02-20
61,American College of Emergency Physicians,3500,2,2018-02-15,2018-10-16
61,Schwan's Co,3500,2,2017-09-12,2018-05-17
61,National Federation of Independent Business,3500,2,2017-09-27,2018-06-22
67,American Orthotic &amp; Prosthetic Assn,3000,2,2017-08-21,2018-10-12
67,National Mining Assn,3000,2,2018-03-28,2018-09-26
67,North American Meat Institute,3000,3,2017-12-14,2018-09-12
67,National Cotton Council,3000,3,2017-06-13,2018-03-19
67,Food Marketing Institute,3000,3,2017-06-19,2018-03-05
67,Independent Community Bankers of America,3000,3,2017-03-21,2018-09-28
67,National Confectioners Assn,3000,4,2017-02-27,2018-05-04
67,American Medical Assn,3000,2,2017-10-20,2018-08-09
67,American College of Radiology,3000,1,2018-08-29,2018-08-29
67,Pride Mobility Products,3000,2,2017-06-20,2018-06-08
67,National Grocers Assn,3000,2,2017-06-19,2018-02-07
78,American Frozen Food Institute,2500,1,2017-09-25,2017-09-25
78,Marathon Petroleum,2500,1,2018-10-26,2018-10-26
78,Support to Ensure Victory Everywhere PAC,2500,1,2018-10-24,2018-10-24
78,Chesapeake Energy,2500,2,2017-11-06,2018-10-29
78,Self-Insurance Institute of America,2500,1,2018-08-10,2018-08-10
78,Associated Builders &amp; Contractors,2500,1,2018-09-24,2018-09-24
78,NTCA/Rural Broadband Assn,2500,1,2018-07-31,2018-07-31
78,National Electrical Contractors Assn,2500,2,2017-05-15,2018-04-24
78,SNAC International,2500,1,2017-06-09,2017-06-09
78,Northrop Grumman,2500,1,2018-05-21,2018-05-21
78,Dean Foods,2500,1,2017-10-31,2017-10-31
78,Genesee &amp; Wyoming,2500,2,2017-08-15,2018-03-09
78,Southeastern Lumber Manufacturers Assn,2500,2,2017-09-18,2018-02-02
78,Caterpillar Inc,2500,1,2018-09-07,2018-09-07
78,Aetna Inc,2500,1,2017-09-26,2017-09-26
93,Fulton Financial,2250,3,2017-02-28,2018-07-03
94,PA In 18,2231,1,2018-03-31,2018-03-31
95,Donald J Trump for President,2000,1,2018-07-26,2018-07-26
95,Grassroots Awareness,2000,2,2017-06-16,2017-12-12
95,Jim Gerlach for Congress,2000,2,2017-07-12,2018-02-19
95,Crop Insurance Professionals Assn,2000,1,2018-03-29,2018-03-29
95,National Sorghum Producers,2000,2,2017-05-11,2018-03-16
95,American Petroleum Institute,2000,2,2017-02-22,2018-10-15
